id,created_at,favorite_count,retweet_count,text
822466637538410496,2017-01-20 15:31:41+00:00,304009,118369,"Yes we can.
Yes we did.
Thank you for being a part of the past eight years. https://t.co/mjmr4RkxpV"
822267035900145664,2017-01-20 02:18:32+00:00,10959,4135,"After 388 episodes of West Wing Week, see what’s happening around the White House with @POTUS for the last time. https://t.co/B7jld2dfDh"
822222830691581952,2017-01-19 23:22:53+00:00,17849,6082,"You were the change. Because of you, America is better poised to lead in the 21st century than any other nation on Earth. https://t.co/6yMkkZ5KzX"
822222579930984448,2017-01-19 23:21:53+00:00,95638,32993,"Because you fought to make it happen, marriage equality is the law of the land, and we made progress on ensuring that all are created equal. https://t.co/uebl0FrP9C"
822222422074126338,2017-01-19 23:21:16+00:00,6608,2063,"We brought home more of our troops, prevented Iran from building a nuclear weapon, and opened up a new chapter with the Cuban people."
822220767765139456,2017-01-19 23:14:41+00:00,8271,2521,"In 2009, @POTUS bet on American autoworkers. And today, our auto industry has come roaring back. https://t.co/NmQVqobDm1"
822220579503751168,2017-01-19 23:13:56+00:00,6144,2642,"We cut our dependence on foreign oil, doubled our renewable energy, and led the world to a climate agreement that could save our planet. https://t.co/ZgQTdZm5GD"
822220330706108416,2017-01-19 23:12:57+00:00,5586,2421,"Together, we made sure that health care is a right, not a privilege. More than 20 million Americans have gained coverage thanks to the ACA. https://t.co/802pPtJaq9"
822220067702181890,2017-01-19 23:11:54+00:00,4800,1883,"In 2009, the unemployment rate hit 10%. Together, we’ve cut that by more than half. https://t.co/hQb6r2An4g"
822219833223872512,2017-01-19 23:10:59+00:00,5875,2442,"Thanks to your grit and determination, American businesses have produced the longest stretch of job creation in our history. https://t.co/Yp35U8Hczp"
822219662662533122,2017-01-19 23:10:18+00:00,12242,3765,We've made real progress together these past eight years. Let’s take a look back:
822201982928699399,2017-01-19 22:00:03+00:00,20149,8363,"388 episodes.
 
8 years.
 
One last chance to say farewell. https://t.co/B7jld2dfDh"
822192428018974720,2017-01-19 21:22:05+00:00,2819,1338,"After hitting a high of 10% in 2009, the unemployment rate has now dropped to 4.7% under @POTUS, falling faster and further than expected. https://t.co/Ia40jcueAj"
822192028754780160,2017-01-19 21:20:29+00:00,4477,1880,Good news: The average number of people filing for unemployment insurance over the last 4 weeks dropped to its lowest level since 1973. https://t.co/w4I4nsEfIp
822186873099460608,2017-01-19 21:00:00+00:00,3009,952,FACT: @POTUS has surpassed the number of commutations granted by the past 13 presidents combined. Learn more: https://t.co/3NRkJnl39u https://t.co/GqNpnO68Zt
822178567907733504,2017-01-19 20:27:00+00:00,1075,298,"“The President set out to reinvigorate clemency, and he has done just that.”  https://t.co/3NRkJnl39u"
822171101572767744,2017-01-19 19:57:20+00:00,3177,1089,"BREAKING: @POTUS has now commuted the sentences of 1,715 men and women, more than any president in history.  https://t.co/3NRkJnCEy4 https://t.co/j7gCdigJqD"
821830779751829504,2017-01-18 21:25:01+00:00,3319,1065,"“If we work hard and we’re true to those things in us that…feel right, the world gets a little better each time.” https://t.co/A0xwumsNNI"
821828264352251904,2017-01-18 21:15:01+00:00,3413,1105,"“At my core, I think we’re going to be ok. We just have to fight for it, we have to work for it.” -—@POTUS https://t.co/A0xwumsNNI"
821821780939644929,2017-01-18 20:49:15+00:00,3121,977,.@POTUS reflects on how his daughters see the world in an answer to his last question from White House reporters. https://t.co/A0xwumsNNI
821807823025819648,2017-01-18 19:53:48+00:00,1897,481,"""I feel very comfortable that justice has been served"" —@POTUS on commuting the sentence of Chelsea Manning https://t.co/kA584BEe1J"
821804625212960773,2017-01-18 19:41:05+00:00,6653,2195,"""My hope is that you will...push those of us in power to be the best version of ourselves."" —@POTUS to the press https://t.co/LYDqtVviur"
821796630580101120,2017-01-18 19:09:19+00:00,1406,645,Starting soon: @POTUS's final press conference at the White House. Watch live: https://t.co/b4tqL36eMn https://t.co/DerjbMAdR6
821767493274345472,2017-01-18 17:13:32+00:00,1609,620,.@POTUS is holding his final press conference at the White House today at 2:15pm ET. Tune in here: https://t.co/b4tqL3nPDV https://t.co/TnrthdSfJb
821499447616139266,2017-01-17 23:28:25+00:00,2399,2032,"After January 20, 2017: 

@POTUS → @BarackObama 
@VP → @JoeBiden
 
Learn more: https://t.co/BscnvS4whh"
821477209873346560,2017-01-17 22:00:03+00:00,1735,805,"With today’s 209 commutations, @POTUS has commuted sentences of more people than the last 12 presidents combined. https://t.co/t6Cs7NDPh0 https://t.co/qirajGC1eH"
821469383952371714,2017-01-17 21:28:57+00:00,4148,1580,"FACT: In commuting the sentences of 209 people today, @POTUS has now granted more commutations than any president in U.S. history. https://t.co/QoQ1i81Y4N"
821466963117568003,2017-01-17 21:19:20+00:00,8713,4069,"BREAKING: With 209 commutations and 64 pardons, @POTUS just gave 273 Americans a second chance. Learn more → https://t.co/t6Cs7NVqFA https://t.co/FYrxSdqq8Q"
821412006725124096,2017-01-17 17:40:58+00:00,6950,1895,"One last time, @POTUS drops in on @PressSec Josh Earnest to say thanks: “He’s a really, really good man.” https://t.co/yq3ev53xie"
821408301250465793,2017-01-17 17:26:14+00:00,962,264,Happening now: @POTUS surprises @PressSec Josh Earnest at his final press briefing. Tune in! https://t.co/b4tqL36eMn https://t.co/3VxYlxqstp
821398456799477762,2017-01-17 16:47:07+00:00,1958,444,Tune in at 12pmET as @PressSec Josh Earnest helms his last press briefing of the Obama administration: https://t.co/b4tqL36eMn https://t.co/htbbQaVPMU
821171437608153088,2017-01-17 01:45:02+00:00,5815,1878,See how @POTUS and @FLOTUS spent the day at Naylor Road Family Shelter in D.C. #MLKDAY https://t.co/JAbnWXhe2f
821165140728893440,2017-01-17 01:20:00+00:00,5682,1067,"“As a new fan, you have some catching up to do.” The @Cubs present @POTUS with a lifetime pass to Wrigley Field. https://t.co/Y9RbjqVK29"
821160111028760576,2017-01-17 01:00:01+00:00,7914,2171,"""They said this day would never come."" —@POTUS welcomes the @Cubs to the White House for the first time since 1888. https://t.co/THx0srLJkg"
821117036336128001,2017-01-16 22:08:51+00:00,14266,6463,"""Darkness cannot drive out darkness, only light can do that. Hate cannot drive out hate, only love can do that."" —Dr. Martin Luther King Jr. https://t.co/kDtxtcWkj8"
821075908513632256,2017-01-16 19:25:26+00:00,3224,941,"""Among Sox fans, I am the @Cubs #1 fan."" —@POTUS welcomes the 2016 World Series champs  to the White House. https://t.co/tSLVIlrBfj"
821056711234621440,2017-01-16 18:09:09+00:00,1328,347,"Watch live: @POTUS finally gets the chance to welcome the World Series Champion, @Cubs, to the White House! https://t.co/b4tqL36eMn"
820675311595438081,2017-01-15 16:53:36+00:00,10628,3070,"""Over the course of these eight years, I have seen the goodness, the resilience, and the hope of the American people."" —@POTUS https://t.co/c2XwbvfWOb"
820323325142368256,2017-01-14 17:34:56+00:00,3633,1373,Watch @POTUS deliver his final weekly address to the American people. https://t.co/K5jqIAtlUd #ObamaFarewell https://t.co/MeylVmpAKu
820302194436030464,2017-01-14 16:10:58+00:00,13133,4026,"“You made me a better President, and you made me a better man.” —@POTUS in his last weekly address. #ObamaFarewell https://t.co/zhnaA5NBTM"
819966062099828737,2017-01-13 17:55:18+00:00,4542,1468,In photos. In speeches. In moments we’ll never forget.  Check out the Obama Presidency in review: https://t.co/C1QKjXCms5 #POTUSinReview https://t.co/m6kpBnGkV6
819932693135785984,2017-01-13 15:42:42+00:00,3235,1030,“This house belongs to...every American.” Join @POTUS for a sneak peek of a 360 tour of the White House: https://t.co/e3dwG8u2Mg https://t.co/FgX4MeBS6A
819751544455331840,2017-01-13 03:42:53+00:00,5600,994,"""I want to thank you all so very, very, very much."" —@VP after receiving the Presidential Medal of Freedom from @POTUS https://t.co/8Ve7stG5gg"
819737341942235137,2017-01-13 02:46:26+00:00,16955,4463,"""To know Joe Biden is to know love without pretense, service without self-regard, and to live life fully."" —@POTUS honoring @VP https://t.co/ayKhKh4GWS"
819718782155452418,2017-01-13 01:32:41+00:00,1601,462,"""Today’s actions will help ensure that...more of our outdoors will be protected for all to experience"" —@POTUS: https://t.co/6ZDRZBBSdi https://t.co/VQ1siykn8f"
819707769498570752,2017-01-13 00:48:56+00:00,1499,502,"""Today, I am designating new national monuments that preserve critical chapters of our country’s history"" —@POTUS: https://t.co/6ZDRZBBSdi https://t.co/FVW83xWnT9"
819702408074891265,2017-01-13 00:27:38+00:00,3729,1296,"Since taking office, @POTUS has protected more land and water than any President in American history. https://t.co/ykJ2ZHeOVN https://t.co/Uk9WFurpyH"
819693009667260416,2017-01-12 23:50:17+00:00,2302,874,BREAKING: @POTUS designates new national monuments to reflect our nation’s history &amp; preserve our natural heritage: https://t.co/ykJ2ZHeOVN https://t.co/IhjPzvI42d
819679008522698753,2017-01-12 22:54:39+00:00,699,505,Statement by @POTUS on Cuban immigration policy: https://t.co/Ibe2125dbw
819671040360116226,2017-01-12 22:22:59+00:00,8964,2894,"""As long as there’s breath in me, I'll be there for you"" —@VP to @POTUS after receiving the Medal of Freedom https://t.co/vdJdsmlToz"
819661362888658945,2017-01-12 21:44:32+00:00,10483,3363,"""I am proud to award the Presidential Medal of Freedom with Distinction to my brother, Joseph Robinette Biden Jr."" —@POTUS surprises @VP https://t.co/Y8uB1W0fkG"
819658395401777152,2017-01-12 21:32:44+00:00,12093,4576,.@POTUS awards the Presidential Medal of Freedom with Distinction to @VP: https://t.co/XK7uEUOuhq
819652392471973890,2017-01-12 21:08:53+00:00,8159,2096,"""For the final time...I am pleased to award our nation's highest civilian honor: the Presidential Medal of Freedom."" —@POTUS honoring @VP"
819650836448112643,2017-01-12 21:02:42+00:00,11271,2763,"""It is, as Joe once said, a big...deal."" —@POTUS on @VP's legacy https://t.co/ip95vAa57r"
819650314198548480,2017-01-12 21:00:37+00:00,3302,756,"""He has been a lion of American history. The best part is, he's nowhere close to finished."" —@POTUS on @VP https://t.co/quSJxtWUcP"
819649215655739392,2017-01-12 20:56:16+00:00,17551,6506,"""This..gives the internet one last chance to talk about our bromance."" —@POTUS https://t.co/gwRLroa3t9"
819648423653679104,2017-01-12 20:53:07+00:00,5912,1731,"""The best Vice President America has ever had, Mr. Joe Biden."" —@POTUS https://t.co/cl5tygVlHU"
819647243808600064,2017-01-12 20:48:25+00:00,2385,655,Happening now: @POTUS says thank you to @VP for eight great years: https://t.co/t45gEzU6pn https://t.co/RR5vW3DEEl
819629884339326978,2017-01-12 19:39:27+00:00,1962,471,"""You were the first decision I made as a nominee, and it was the best."" Tune in at 3:00pm as @POTUS toasts @VP: https://t.co/t45gEzU6pn https://t.co/XVENaHDBcS"
819622711521669121,2017-01-12 19:10:56+00:00,2271,1494,"If Republicans have a better plan than the #ACA, they should present that plan to the American people. They haven’t: https://t.co/fHXj45rRoq https://t.co/y1osTvi3Rt"
819617735768506376,2017-01-12 18:51:10+00:00,825,543,The percentage of Americans with health insurance is at a historic high today. Repeal puts that progress at risk: https://t.co/nBYkD7vd47 https://t.co/NFrAyl4E2V
819611901235707904,2017-01-12 18:27:59+00:00,1022,724,"Because of the #ACA, Americans are free to become entrepreneurs without worrying about how to get health coverage: https://t.co/nBYkD7vd47 https://t.co/tjg2978LtE"
819607805552394241,2017-01-12 18:11:43+00:00,1157,1305,"If Republicans repeal the #ACA, Americans suffering from mental illness will lose access to mental health coverage. https://t.co/nBYkD7vd47 https://t.co/67ajgaMwpo"
819603738805620736,2017-01-12 17:55:33+00:00,1500,1681,"If Republicans repeal the #ACA, pregnancy could be considered a pre-existing condition. Here's what's at stake: https://t.co/nBYkD7vd47 https://t.co/OGCXbz0FY6"
819599404625752065,2017-01-12 17:38:20+00:00,2022,1848,"If Republicans repeal the #ACA, annual and lifetime limits on coverage will threaten access to care for people with serious illnesses. https://t.co/c3mqgbKqx1"
819595398293716994,2017-01-12 17:22:24+00:00,1730,1445,"Because of the #ACA, it's illegal to discriminate against people with pre-existing conditions. Repeal takes us back: https://t.co/nBYkD7vd47 https://t.co/uOPvKSh8dL"
819353974201401344,2017-01-12 01:23:04+00:00,8951,2499,"""I will be right there with you, as a citizen, for all my remaining days."" —@POTUS #YesWeCan https://t.co/TYPCj8PEd3"
819339355869171712,2017-01-12 00:24:59+00:00,6296,1938,"Yes, we can. https://t.co/kRjuBp6ngK"
819230348760535040,2017-01-11 17:11:50+00:00,9029,2588,"“Yes we can.
Yes we did.
Yes we can.” —@POTUS #ObamaFarewell https://t.co/aSukG7xJNq"
819028562871103488,2017-01-11 03:50:00+00:00,8303,2940,"“For all our outward differences, we in fact all share the same proud title…Citizen.” —@POTUS #ObamaFarewell https://t.co/2AM3wOII3z"
819027304252702721,2017-01-11 03:45:00+00:00,4026,1331,"""Our democracy is threatened whenever we take it for granted....All of this depends on our participation"" —@POTUS https://t.co/2AM3wOII3z"
819026046561427456,2017-01-11 03:40:00+00:00,7387,2214,".@POTUS to @VP: ""I've gained a brother...your friendship has been one of the great joys of our life."" #ObamaFarewell https://t.co/JLR06kKwyb"
