id,created_at,favorite_count,retweet_count,text
1495193783675375618,2022-02-20 00:29:12+00:00,42289,5806,"High-speed internet is essential infrastructure in the 21st century. That’s why we’re bringing affordable, high-speed internet to every home in America with the Bipartisan Infrastructure Law."
1495157522700935176,2022-02-19 22:05:06+00:00,16005,3414,"On this Day of Remembrance of Japanese American Incarceration During World War II, we acknowledge the unjust incarceration of some 120,000 Japanese Americans – and reaffirm our commitment to Nidoto Nai Yoni, which translates to “Let It Not Happen Again.”
https://t.co/WM4498Z0Ft"
1494863649500168193,2022-02-19 02:37:21+00:00,76933,13855,"We're calling out Russia’s plans. Not because we want a conflict, but because we are doing everything in our power to remove any reason Russia may give to justify invading Ukraine.

If Russia pursues its plans, it will be responsible for a catastrophic and needless war of choice."
1494846823449640963,2022-02-19 01:30:30+00:00,10082,2545,"We’ve seen reports of a major uptick of violations of the ceasefire by Russian-backed fighters attempting to provoke Ukraine — and we continue to see more disinformation pushed out to the public.
 
All of this is consistent with the playbook that the Russians have used before. https://t.co/0HHiCRxcTf"
1494839651319922692,2022-02-19 01:02:00+00:00,21867,4002,"The United States and our Allies and partners will support the Ukrainian people.
 
We will hold Russia accountable for its actions.
 
The West is united and resolved — and we are ready to impose severe sanctions on Russia if it further invades Ukraine."
1494818324491948037,2022-02-18 23:37:15+00:00,17886,4107,"The fact remains: Russian troops currently have Ukraine surrounded from Belarus to the Black Sea in the south — and along Ukraine’s borders. 
 
We have reason to believe Russian forces are planning and intend to attack Ukraine in the coming days."
1494808254068801544,2022-02-18 22:57:14+00:00,66148,8917,"I say again: Russia can still choose diplomacy.
 
It’s not too late to de-escalate and return to the negotiating table."
1494796563406901256,2022-02-18 22:10:47+00:00,62028,11207,"The American people are united. Europe is united. The Transatlantic community is united. The entire free world is united.
 
Russia has a choice — between war and all the suffering that it will bring — or diplomacy that will make the future safer for everyone."
1494791887751892994,2022-02-18 21:52:12+00:00,4650,1155,Watch live as I give an update on our continued efforts to pursue deterrence and diplomacy – and an update on Russia’s buildup of military troops on the border of Ukraine. https://t.co/Xt6EQUNltF
1494790173124481025,2022-02-18 21:45:23+00:00,23394,4044,"I spoke today with Transatlantic Allies and partners to discuss Russia’s military build-up in and around Ukraine. We agreed on our support for Ukraine, to continue diplomatic efforts, and affirmed our readiness to impose massive costs on Russia should it choose further conflict."
